,objectid,fod_id,fpa_id,fire_year,discovery_date,discovery_doy,stat_cause_code,stat_cause_descr,fire_size,fire_size_class,latitude,longitude,state,Month,Temp,WindSpd,WindGust,Humidity,Precipitation
1741259,1741260,300080000.0,SFO-2014SCSCS14WF0217,2014,2014-01-25,25,2,Equipment Use,3.0,B,33.380984999999995,-80.281677,SC,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1723361,1723362,300001000.0,FS-1521648,2014,2014-06-15,166,11,Powerline,0.5,B,44.36888889,-85.82277778,MI,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1767015,1767016,300111000.0,SFO-2014WIDNR11270152014,2014,2014-03-22,81,6,Railroad,0.1,A,43.12599,-89.70878,WI,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1728400,1728401,300007000.0,FS-1523264,2014,2014-08-04,216,4,Campfire,0.1,A,47.06805556,-93.86166667,MN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1732461,1732462,300018000.0,W-667215,2014,2014-05-06,126,7,Arson,3.0,B,47.8869,-98.9753,ND,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1736918,1736919,300030000.0,AK-DAS-37226,2014,2014-05-15,135,13,Missing/Undefined,0.1,A,64.051683,-145.426733,AK,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1724041,1724042,300002000.0,FS-1522076,2014,2014-07-08,189,1,Lightning,0.1,A,37.07361111,-106.39916667,CO,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1769602,1769603,300115000.0,SFO-2014MO-MOS102126,2014,2014-04-20,110,7,Arson,12.0,C,37.8051,-92.9007,MO,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1731410,1731411,300015000.0,W-670221,2014,2014-04-18,108,7,Arson,0.3,B,47.9936,-94.7439,MN,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1730820,1730821,300014000.0,W-672756,2014,2014-09-08,251,1,Lightning,0.1,A,30.32,-87.2675,FL,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
1723224,1723225,300001000.0,FS-1521140,2014,2014-01-17,17,9,Miscellaneous,1.1,B,30.06666667,-92.05,LA,0.0,BAD RESPONSE,0.0,0.0,0.0,0.0
